,headline,CTR,ini_CTR,test_id
0,"Hey Dude. If You Have An Older Brother, There's A Bigger Chance You're Gay.",0.01004902,0.013923603,1
1,"Here's The Science, Here's The Gay. Open Your Brain, They Were Born That Way!",0.013271074,0.011902462010413044,1
2,"I've Got Some News For You. Being Gay Is Genetic. Being Irrationally Afraid Of Gay, Not So Much.",0.009615385,0.011207109442585583,1
3,"SCIENCE FACT: Gay Science, Like Straight Science, Is Really Just Plain Old Fact Science",0.007744434,0.011949012809932874,1
4,"If You Know Anyone Who Is Afraid Of Gay People, Here's A Cartoon That Will Ease Them Back To Reality",0.028880866,0.027654088797935544,1
5," If Your Response To This Poster Is 'Yeah, But …' You're That Guy",0.021105528,0.015902921,20
6,Finally! An Anti-Rape Campaign That Isn't Victim Blame-y.,0.030560272,0.018919995038027427,20
7,Raise Your Hand If You'd Like To See This Anti-Rape Culture Campaign Go Global,0.025692359,0.012930943737304289,20
8,"If You Want To Stop Rape, These Are The People You SHOULD Be Targeting",0.023897678,0.010075343129259715,20
9,These Models Are Making People Get Their Checkbooks Out,0.017779459,0.014442571848274396,21
10,These Models Look Like They've Been Starving!,0.021992733,0.034019910632272304,21
11,"Would You Rather Buy The Purse, Or Some Food For This Model?",0.019160759,0.010008426354949957,21
12,I Guess These Models Don't Sell Products Quite As Well,0.023910245,0.018189729370560095,21
13,"'Tis The Season For Cool People Giving Inspirational Speeches, And This Is The Best Of Them",0.019495413,0.00816676,28
14,Do You Ever Think You Are A Toal Fraud? You Are Not Alone. And Probably Not A Fraud Either.,0.019607843,0.007910731,28
15,7 Ways To Make Sure You Don't Hate Your Life And Actually Enjoy It And Stuff,0.025738077,0.009289798,28
16,90% Of Americans Agree On Gun Control Reform. So Why Hasn't Anything Happened Yet?,0.008955224,0.00629891,34
17,Shooting Victim Gabby Giffords Can Finally Speak Again — And It's About Gun Violence,0.012810852,0.013181154284723377,34
18,Optimism About Gun Violence From The Woman Who Knows Far Too Much About Gun Violence,0.008359873,0.012356332305731388,34
19,2 Years Ago Gabby Giffords Was Shot In The Head. Now She's Got Something Important To Say.,0.014166364,0.014929355013565744,34
20,Why It's Great To Grow Up In Scandinavia,0.010930953,0.015602523215997038,35
21,Why It's Great To Grow Up In Countries With Really Cool Accents,0.008821908,0.007776897,35
22,This Bullied Kid Went Through Hell So Your Kids Won't Have To,0.028784648,0.014553129997133993,42
23,What Bullies Did To This Kid Was Horrible. What He Did To Respond Was Beautiful.,0.057458564,0.042561982,42
24,This Bullied Kid's Story Ripped My Heart Out. What Happened Afterwords Put It Right Back In.,0.042738275,0.017229619,42
25,A Bunch Of Bullies Thought It Would Be Funny To Pummel This Kid. They Aren't Laughing Now.,0.080860534,0.019766637704294338,42
26,"Here's A Magazine Saying ""Sorry We're Not Sorry"" For Being Racist",0.010974304,0.011371491953389982,43
27,In Which Big Banks Get A Pass And Poor People Get Thrown Under The Bus,0.006057414,0.006269815,43
