clickability_test_id,eyecatcher_id,headline_1,headline_2,higher_CTR,CTR_1,CTR_2,Size_1,Size_2,p_value
548afb5e3839361a700c0000,548a341339333200150d0000,It's Legal In 23 States Now. Watch Them Fall Like Dominoes.,It's Legal In 23 States Now. Watch The Prohibition States Fall Like Dominoes.,1,0.015485996705107084,0.007923407065037967,3035.0,3029.0,0.008178309056082038
540be2746f2590f14d000016,540be33c21d9cd9cc400000f,"I Had A Black Dog, His Name Was Depression. This Is How I Can Live With Him Today.","How To Handle A Black Dog, If That Black Dog Were Sadness",1,0.004679855349925548,0.004177660510114336,4701.0,4548.0,0.7560422297508398
53d04258e54a0f85cf0000d0,53d01480e54a0f95e8000087,A Bajillion Dollar Industry Hopes You Won’t Catch The Contagious Attitude These Women Have,A Bajillion Dollar Industry Desperately Hopes You Won’t Share This With Every Girl You Know,2,0.009012256669069935,0.019452449567723344,2774.0,2776.0,0.0013563079351839986
5463ed3d7de4fa6bb7000009,5463e36dd092285ea700000f,This Calvin Klein Model Is Not A Size 2. She's Also Not Plus-Size And That Started The Controversy.,A Calvin Klein Model Became Famous Overnight Because Of Her Size. She's Not Plus-Size. Or A Size 2.,2,0.01647612642905178,0.024193548387096774,2974.0,2852.0,0.04051801571780944
5231639ef94cf54b52004b0b,5332bfbf1fae79f09f00ba3f,"There's Something Wrong With Television When Boobs Are Simply Part Of... Well, Everything.","What Did You Say, Again? I Was Looking At Boobs, So I Wasn't Paying Attenti... Wha?",2,0.01763533200429382,0.018962222548875494,6521.0,6803.0,0.6052561671093836
5443d51cf6da8d63b0000016,54432c558996642e4e00000f,People Have Mocked Her Story For Years. Now She's Going Up To The Mic And Taking It Back.,"If You Stop Listening To Her In The First 12 Seconds, You're Proving Her Point",2,0.009135399673735726,0.017314603070891867,3065.0,3061.0,0.005111852292487536
5446cc9fcdf1939cf0000004,5446cbbc0b628c7f6b000001,Do You Know What Kills More People In The Developing World Than Ebola? Lots Of Stuff.,The Things About Ebola That Should Scare You And The Things That Shouldn't,2,0.006096012192024384,0.010364004044489384,3937.0,3956.0,0.045500854470607935
53cd46184f32a666dd000031,53cd44c94f32a6305a000022,There’s A Secret Formula That One Restaurant Chain Uses To Succeed. It’s Working.,The Secret To Keeping Workers Happy And Growing A Business? Right Here.,1,0.014084507042253521,0.003745318352059925,3266.0,3204.0,7.923359610949361e-06
551489c5303261002c450000,55147c7d32393200242b0000,What he says about mind control proves once and for all — there is nothing weirder than real life.,Cat-seeking rats and wasps leading roaches on a leash: strange but true stories from the 'hood.,2,0.0009876543209876543,0.004455445544554455,2025.0,2020.0,0.03811157768823331
53b352f9ff70e8e5b2000014,53b30e8ade153a27ee000006,"So Really, What Good Are Unions, Anyway?",The Top 10 Reasons Why We Don't Need Unions Anymore,2,0.004407713498622589,0.008310249307479225,3630.0,3610.0,0.03886522742917248
537df41c67876e580e000081,537d050f67876e580e000020,Kids Are Awesome. So Let's Give Them The Education They Deserve.,There Are Some Brilliant Kids Out There That Don't Think They're Smart. Here's Why.,2,0.008269344359125812,0.02927400468384075,1693.0,1708.0,5.908076989525856e-06
547f89e43433360015410000,547e25b939323300181e0000,A Homeless Woman Built Herself A Brand New House. Now She Might Get Tossed Out Into The Cold.,A Homeless Woman Built Herself A House In The Country. Now She Might Get Thrown Back Into The Cold.,1,0.0192243950944647,0.011479173499508036,3017.0,3049.0,0.015946169354372056
5310d54c10a5f2d06c000062,5332f71ea2fc90ead0000eb4,A News Anchor Doesn't See The Problem With Arizona's Anti-Gay Law. She Gets A Really Helpful Answer.,"A News Anchor Basically Asks Why Discrimination Is Bad, Then Cuts Off The Person Explaining Why",1,0.043745949449125084,0.02664418212478921,3086.0,2965.0,0.00036363577790363513
5209ba240f8354bcec002bc6,5332be641fae79f09f0097c8,A Beautiful Love Story Takes A Horrible Turn For The Better,The Most Heartbreaking Reason To Leave Your Front Door Unlocked I've Ever Heard,2,0.044838860345632885,0.0743838028169014,2141.0,2272.0,3.5595723121508555e-05
542ce873e407f8e6a400000d,5431d0bf3d5655d09600000c,Celebs Have Simple Suggestions For Change That Has To Occur. I Don't Usually Listen To Celebs But...,We Should Care About The Earth Just Because We Should.  But Here Are Some Celebs Asking You To Care.,1,0.006268364348677767,0.002756448119708604,5105.0,5079.0,0.011182176729180687
